"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 22-May-2023"
"NIFTY 50","22,576.60","22,629.50","22,483.15","22,529.05","22,597.80","68.75","0.31","29,03,45,590","28,556.04","22,794.70","18,333.15","1.73","23.01"
"CIPLA","1,450.95","1,494.80","1,437.25","1,442.30","1,482.50","40.20","2.79","42,16,347","621.13","1,519.00","915.45","7.17","55.93"
"TATACONSUM","1,100.00","1,122.00","1,093.95","1,093.95","1,121.40","27.45","2.51","20,32,291","226.16","1,269.00","760.20","-3.88","42.79"
"HINDUNILVR","2,311.00","2,374.00","2,310.70","2,310.70","2,366.00","55.30","2.39","19,14,851","451.91","2,769.65","2,172.05","3.54","-12.41"
"COALINDIA","494.50","507.35","491.60","490.65","501.85","11.20","2.28","2,83,46,931","1,421.63","507.35","223.25","12.72","105.55"
"RELIANCE","2,872.55","2,937.55","2,872.55","2,872.25","2,921.00","48.75","1.70","51,40,802","1,500.37","3,024.90","2,220.30","-2.31","17.00"
"BRITANNIA","5,219.80","5,302.50","5,195.00","5,178.10","5,262.00","83.90","1.62","7,48,236","393.63","5,386.05","4,347.70","10.92","15.10"
"DRREDDY","5,850.00","5,905.00","5,790.40","5,779.80","5,872.90","93.10","1.61","5,21,022","304.60","6,505.90","4,384.25","-2.74","29.66"
"SUNPHARMA","1,547.00","1,564.00","1,505.40","1,540.95","1,564.00","23.05","1.50","39,48,239","603.32","1,638.85","922.85","1.19","64.38"
"INFY","1,428.75","1,459.95","1,428.00","1,434.15","1,454.20","20.05","1.40","71,73,285","1,040.79","1,733.00","1,262.25","1.62","10.93"
"ASIANPAINT","2,851.80","2,895.00","2,836.60","2,851.80","2,890.00","38.20","1.34","9,33,846","268.86","3,568.00","2,670.10","1.54","-7.56"
"ITC","437.35","441.95","435.40","434.80","440.00","5.20","1.20","1,06,27,595","467.21","499.70","399.35","2.37","2.37"
"ULTRACEMCO","9,870.00","9,950.00","9,822.25","9,789.40","9,899.85","110.45","1.13","2,80,237","277.41","10,526.00","7,590.05","4.54","26.88"
"DIVISLAB","4,051.00","4,071.75","3,986.70","4,016.55","4,060.00","43.45","1.08","3,98,441","160.89","4,100.00","3,051.00","9.39","23.02"
"LTIM","4,740.00","4,805.00","4,722.50","4,730.75","4,776.00","45.25","0.96","2,76,807","131.99","6,442.00","4,565.50","1.51","-5.15"
"LT","3,450.05","3,472.70","3,435.05","3,440.95","3,464.75","23.80","0.69","14,09,992","487.78","3,860.00","2,176.00","-2.20","55.24"
"ADANIENT","3,129.95","3,145.00","3,073.50","3,117.50","3,137.00","19.50","0.63","33,71,077","1,052.14","3,350.00","1,983.40","2.99","34.02"
"NTPC","375.00","377.35","370.60","372.00","374.00","2.00","0.54","1,40,01,806","523.89","380.40","171.85","6.12","113.67"
"TECHM","1,330.00","1,335.40","1,311.05","1,323.90","1,330.10","6.20","0.47","14,11,627","187.38","1,416.30","1,060.10","10.91","19.87"
"EICHERMOT","4,673.00","4,707.65","4,665.50","4,672.95","4,692.00","19.05","0.41","2,01,187","94.29","4,742.95","3,160.00","7.57","31.80"
"MARUTI","12,427.80","12,563.00","12,363.10","12,473.30","12,522.35","49.05","0.39","2,80,015","349.88","13,073.95","9,073.85","-1.87","36.22"
"INDUSINDBK","1,409.00","1,413.15","1,391.85","1,406.50","1,412.00","5.50","0.39","67,39,695","944.33","1,694.50","1,232.50","-5.10","12.87"
"HDFCBANK","1,457.85","1,465.60","1,448.15","1,458.80","1,463.75","4.95","0.34","1,99,98,139","2,912.21","1,757.50","1,363.55","-4.73","-11.11"
"NESTLEIND","2,472.00","2,487.50","2,461.90","2,460.80","2,468.35","7.55","0.31","7,87,327","194.80","2,769.30","2,127.50","0.95","-88.55"
"TCS","3,835.00","3,841.25","3,817.55","3,820.20","3,831.50","11.30","0.30","13,11,168","502.27","4,254.75","3,156.00","-0.16","15.81"
"SBIN","826.55","826.65","813.55","830.65","818.75","1.80","0.22","1,92,39,277","1,576.22","839.65","543.20","10.69","43.92"
"BHARTIARTL","1,342.15","1,351.00","1,329.55","1,344.30","1,347.00","2.70","0.20","30,26,723","405.51","1,362.75","795.00","4.29","67.65"
"TITAN","3,384.75","3,403.10","3,360.00","3,377.00","3,382.95","5.95","0.18","6,26,567","212.19","3,886.95","2,670.00","-5.22","24.50"
"BAJFINANCE","6,777.45","6,777.45","6,727.25","6,742.85","6,754.00","11.15","0.17","4,16,046","280.95","8,192.00","6,187.80","-5.29","-0.74"
"BAJAJFINSV","1,582.55","1,590.00","1,575.00","1,582.55","1,585.00","2.45","0.15","5,78,669","91.60","1,741.00","1,405.00","-2.25","12.00"
"POWERGRID","327.75","327.75","320.20","325.65","326.00","0.35","0.11","1,02,87,081","333.39","327.75","172.50","15.62","38.96"
"KOTAKBANK","1,702.80","1,704.95","1,681.10","1,698.25","1,700.00","1.75","0.10","60,58,697","1,026.92","2,064.40","1,543.85","-5.27","-12.47"
"WIPRO","462.90","463.45","458.85","460.90","461.35","0.45","0.10","38,82,942","179.00","545.90","375.05","1.80","16.46"
"HCLTECH","1,348.95","1,352.90","1,340.00","1,341.90","1,342.00","0.10","0.01","23,90,777","321.62","1,697.35","1,087.05","-7.30","19.83"
"BAJAJ-AUTO","8,850.00","8,850.00","8,736.00","8,820.70","8,800.00","-20.70","-0.23","3,02,838","266.35","9,357.95","4,491.10","0.18","95.01"
"M&M","2,521.70","2,535.00","2,490.00","2,522.65","2,516.00","-6.65","-0.26","29,74,921","746.90","2,557.95","1,251.30","21.11","99.33"
"SBILIFE","1,434.25","1,435.55","1,424.00","1,429.65","1,425.65","-4.00","-0.28","9,66,583","137.99","1,569.40","1,144.85","-1.24","24.23"
"TATAMOTORS","952.00","954.90","942.55","951.30","947.95","-3.35","-0.35","94,95,279","900.70","1,065.60","509.10","-1.24","82.07"
"JSWSTEEL","925.00","927.30","906.05","923.45","920.10","-3.35","-0.36","29,38,404","269.20","928.95","687.45","6.78","31.06"
"ADANIPORTS","1,394.35","1,394.35","1,364.20","1,385.50","1,378.10","-7.40","-0.53","18,78,562","258.57","1,424.95","693.15","5.76","89.87"
"ONGC","284.00","284.00","276.90","280.10","278.60","-1.50","-0.54","1,79,35,064","501.39","292.95","150.05","1.76","69.14"
"AXISBANK","1,142.00","1,142.00","1,117.95","1,137.65","1,131.40","-6.25","-0.55","90,94,033","1,025.34","1,182.90","910.20","10.55","23.99"
