symbol,open,high,low,close,ltp,volume,value,52wh,52l,30d_chng,365d_chng
MAZDOCK,"4,715.10","5,621.45","4,670.00","4,684.55","5,621.45","2,08,95,888","10,841.64","5,621.45","1,262.25",43.8,265.04
HONASA,438.9,503,436.55,435.05,502,"74,81,624",353.04,511,256.3,-5.07,-
OPTIEMUS,322.3,389.1,318,324.25,372.85,"27,14,578",99.89,389.1,201.95,28.01,54.26
GALAXYSURF,"2,781.00","3,208.05","2,776.10","2,772.30","3,128.00","2,03,705",61.58,"3,208.05","2,247.00",12.07,4.63
ASTRAZEN,"6,399.00","7,572.20","6,398.10","6,398.10","7,170.00","4,58,354",327.64,"7,572.20","3,700.00",5.45,70.7
AGI,775,889.2,773.05,771.1,855.7,"28,10,024",239.05,"1,089.00",560.05,16.08,36.83
NBCC,171.52,189.9,170.72,169.03,186.5,"14,46,38,219","2,604.79",189.9,38.9,12.2,320.47
INOXWIND,148,164,147.72,142.48,157.15,"8,43,55,526","1,336.95",177,40.4,-7.09,-12.32
COCHINSHIP,"2,449.00","2,679.95","2,405.05","2,436.35","2,679.95","1,30,26,739","3,396.02","2,679.95",277.9,21.03,335.37
DODLA,"1,027.35","1,146.20","1,025.20","1,022.35","1,116.00","4,95,328",53.92,"1,146.20",582.35,17.32,73.09
SUNFLAG,235,268,234.9,233.3,254,"1,07,65,950",277.61,268,159.05,10.31,36.91
GRSE,"2,460.00","2,697.00","2,419.00","2,459.10","2,676.90","1,08,22,653","2,810.21","2,697.00",559,73.5,337.29
CONCORDBIO,"1,591.75","1,745.00","1,551.05","1,589.80","1,722.00","2,13,822",35.83,"1,745.00",900.05,9.88,-
LUPIN,"1,651.15","1,767.00","1,651.15","1,630.60","1,764.05","70,86,148","1,221.48","1,767.00",887.8,2.95,82.93
GREAVESCOT,148.9,162.9,148.53,148.2,159.45,"1,72,58,240",274.04,175.7,112.05,20.1,9.45
VOLTAMP,"12,111.00","12,999.00","12,040.70","11,984.00","12,890.00","1,23,551",157.73,"12,999.00","3,897.00",1.86,202.44
HUDCO,308,327.8,308,301.95,323.7,"9,02,97,808","2,887.00",327.8,57.35,5.17,422.4
RITES,701.85,754,700.05,698.35,748.2,"1,14,53,441",841.79,825.95,364.8,-3.62,90.44
