,Company Name,Symbol,Sector[16]
0,Adani Enterprises,ADANIENT,Diversified
1,Adani Ports & SEZ,ADANIPORTS,Infrastructure
2,Apollo Hospitals,APOLLOHOSP,Healthcare
3,Asian Paints,ASIANPAINT,Consumer Durables
4,Axis Bank,AXISBANK,Banking
5,Bajaj Auto,BAJAJ-AUTO,Automobile
6,Bajaj Finance,BAJFINANCE,Financial Services
7,Bajaj Finserv,BAJAJFINSV,Financial Services
8,Bharat Petroleum,BPCL,Energy - Oil & Gas
9,Bharti Airtel,BHARTIARTL,Telecommunication
10,Britannia Industries,BRITANNIA,Consumer Goods
11,Cipla,CIPLA,Pharmaceuticals
12,Coal India,COALINDIA,Energy - Coal
13,Divi's Laboratories,DIVISLAB,Pharmaceuticals
14,Dr. Reddy's Laboratories,DRREDDY,Pharmaceuticals
15,Eicher Motors,EICHERMOT,Automobile
16,Grasim Industries,GRASIM,Materials
17,HCLTech,HCLTECH,Information Technology
18,HDFC Bank,HDFCBANK,Banking
19,HDFC Life,HDFCLIFE,Financial Services
20,Hero MotoCorp,HEROMOTOCO,Automobile
21,Hindalco Industries,HINDALCO,Metals
22,Hindustan Unilever,HINDUNILVR,Consumer Goods
23,ICICI Bank,ICICIBANK,Banking
24,IndusInd Bank,INDUSINDBK,Banking
25,Infosys,INFY,Information Technology
26,ITC,ITC,Consumer Goods
27,JSW Steel,JSWSTEEL,Metals
28,Kotak Mahindra Bank,KOTAKBANK,Banking
29,Larsen & Toubro,LT,Construction
30,LTIMindtree,LTIM,Information Technology
31,Mahindra & Mahindra,M&M,Automobile
32,Maruti Suzuki,MARUTI,Automobile
33,Nestlé India,NESTLEIND,Consumer Goods
34,NTPC,NTPC,Energy - Power
35,Oil and Natural Gas Corporation,ONGC,Energy - Oil & Gas
36,Power Grid,POWERGRID,Energy - Power
37,Reliance Industries,RELIANCE,Diversified
38,SBI Life Insurance Company,SBILIFE,Financial Services
39,State Bank of India,SBIN,Banking
40,Sun Pharma,SUNPHARMA,Pharmaceuticals
41,Tata Motors,TATAMOTORS,Automobile
42,Tata Steel,TATASTEEL,Metals
43,Tata Consultancy Services,TCS,Information Technology
44,Tata Consumer Products,TATACONSUM,Consumer Goods
45,Tech Mahindra,TECHM,Information Technology
46,Titan Company,TITAN,Consumer Durables
47,UltraTech Cement,ULTRACEMCO,Materials
48,UPL,UPL,Chemicals
49,Wipro,WIPRO,Information Technology
