Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,2220442,3000,ZEELOPT,ZEEL24JUN185PE,27-JUN-2024,OPTSTK,PE,185,0.05,
BFO,2015680,3000,ZEELOPT,ZEEL24JUN182.5PE,27-JUN-2024,OPTSTK,PE,182.5,0.05,
BFO,2204543,3000,ZEELOPT,ZEEL24JUN180PE,27-JUN-2024,OPTSTK,PE,180,0.05,
BFO,2020436,3000,ZEELOPT,ZEEL24JUN177.5PE,27-JUN-2024,OPTSTK,PE,177.5,0.05,
BFO,2207634,3000,ZEELOPT,ZEEL24JUN175PE,27-JUN-2024,OPTSTK,PE,175,0.05,
BFO,2033789,3000,ZEELOPT,ZEEL24JUN172.5PE,27-JUN-2024,OPTSTK,PE,172.5,0.05,
BFO,2095784,3000,ZEELOPT,ZEEL24JUN170PE,27-JUN-2024,OPTSTK,PE,170,0.05,
BFO,879228,3000,ZEELOPT,ZEEL24JUN167.5PE,27-JUN-2024,OPTSTK,PE,167.5,0.05,
BFO,2098816,3000,ZEELOPT,ZEEL24JUN165PE,27-JUN-2024,OPTSTK,PE,165,0.05,
BFO,878538,3000,ZEELOPT,ZEEL24JUN162.5PE,27-JUN-2024,OPTSTK,PE,162.5,0.05,
BFO,2210445,3000,ZEELOPT,ZEEL24JUN160PE,27-JUN-2024,OPTSTK,PE,160,0.05,
BFO,878847,3000,ZEELOPT,ZEEL24JUN157.5PE,27-JUN-2024,OPTSTK,PE,157.5,0.05,
BFO,873687,3000,ZEELOPT,ZEEL24JUN155PE,27-JUN-2024,OPTSTK,PE,155,0.05,
BFO,871450,3000,ZEELOPT,ZEEL24JUN152.5PE,27-JUN-2024,OPTSTK,PE,152.5,0.05,
BFO,873513,3000,ZEELOPT,ZEEL24JUN150PE,27-JUN-2024,OPTSTK,PE,150,0.05,
BFO,873180,3000,ZEELOPT,ZEEL24JUN147.5PE,27-JUN-2024,OPTSTK,PE,147.5,0.05,
BFO,875338,3000,ZEELOPT,ZEEL24JUN145PE,27-JUN-2024,OPTSTK,PE,145,0.05,
BFO,872992,3000,ZEELOPT,ZEEL24JUN142.5PE,27-JUN-2024,OPTSTK,PE,142.5,0.05,
BFO,875159,3000,ZEELOPT,ZEEL24JUN140PE,27-JUN-2024,OPTSTK,PE,140,0.05,
BFO,874819,3000,ZEELOPT,ZEEL24JUN137.5PE,27-JUN-2024,OPTSTK,PE,137.5,0.05,
BFO,876848,3000,ZEELOPT,ZEEL24JUN135PE,27-JUN-2024,OPTSTK,PE,135,0.05,
BFO,874616,3000,ZEELOPT,ZEEL24JUN132.5PE,27-JUN-2024,OPTSTK,PE,132.5,0.05,
BFO,876684,3000,ZEELOPT,ZEEL24JUN130PE,27-JUN-2024,OPTSTK,PE,130,0.05,
BFO,876377,3000,ZEELOPT,ZEEL24JUN127.5PE,27-JUN-2024,OPTSTK,PE,127.5,0.05,
BFO,871668,3000,ZEELOPT,ZEEL24JUN125PE,27-JUN-2024,OPTSTK,PE,125,0.05,
BFO,876200,3000,ZEELOPT,ZEEL24JUN122.5PE,27-JUN-2024,OPTSTK,PE,122.5,0.05,
BFO,871490,3000,ZEELOPT,ZEEL24JUN120PE,27-JUN-2024,OPTSTK,PE,120,0.05,
BFO,2008359,3000,ZEELOPT,ZEEL24JUN117.5PE,27-JUN-2024,OPTSTK,PE,117.5,0.05,
BFO,2200518,3000,ZEELOPT,ZEEL24JUN115PE,27-JUN-2024,OPTSTK,PE,115,0.05,
