Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,432801,250,1,NATGASMINI,NATGASMINI24JUL24C205,24-JUL-2024,OPTFUT,CE,205,0.05,
MCX,432802,250,1,NATGASMINI,NATGASMINI24JUL24P205,24-JUL-2024,OPTFUT,PE,205,0.05,
MCX,432866,250,1,NATGASMINI,NATGASMINI24JUL24C200,24-JUL-2024,OPTFUT,CE,200,0.05,
MCX,432867,250,1,NATGASMINI,NATGASMINI24JUL24C195,24-JUL-2024,OPTFUT,CE,195,0.05,
MCX,432868,250,1,NATGASMINI,NATGASMINI24JUL24C190,24-JUL-2024,OPTFUT,CE,190,0.05,
MCX,432869,250,1,NATGASMINI,NATGASMINI24JUL24C185,24-JUL-2024,OPTFUT,CE,185,0.05,
MCX,432870,250,1,NATGASMINI,NATGASMINI24JUL24C180,24-JUL-2024,OPTFUT,CE,180,0.05,
MCX,432871,250,1,NATGASMINI,NATGASMINI24JUL24C175,24-JUL-2024,OPTFUT,CE,175,0.05,
MCX,432872,250,1,NATGASMINI,NATGASMINI24JUL24C170,24-JUL-2024,OPTFUT,CE,170,0.05,
MCX,432873,250,1,NATGASMINI,NATGASMINI24JUL24C165,24-JUL-2024,OPTFUT,CE,165,0.05,
MCX,432874,250,1,NATGASMINI,NATGASMINI24JUL24C160,24-JUL-2024,OPTFUT,CE,160,0.05,
MCX,432875,250,1,NATGASMINI,NATGASMINI24JUL24C155,24-JUL-2024,OPTFUT,CE,155,0.05,
MCX,432876,250,1,NATGASMINI,NATGASMINI24JUL24C150,24-JUL-2024,OPTFUT,CE,150,0.05,
MCX,432877,250,1,NATGASMINI,NATGASMINI24JUL24C145,24-JUL-2024,OPTFUT,CE,145,0.05,
MCX,432878,250,1,NATGASMINI,NATGASMINI24JUL24C140,24-JUL-2024,OPTFUT,CE,140,0.05,
MCX,432879,250,1,NATGASMINI,NATGASMINI24JUL24C135,24-JUL-2024,OPTFUT,CE,135,0.05,
MCX,432880,250,1,NATGASMINI,NATGASMINI24JUL24C130,24-JUL-2024,OPTFUT,CE,130,0.05,
MCX,432881,250,1,NATGASMINI,NATGASMINI24JUL24C210,24-JUL-2024,OPTFUT,CE,210,0.05,
